seq,value_name,value_category,value_category_id,value_type,value_subtype,scale_type,scale_id,scale_name,scale_gender,value_metric_description,value_metric_units,value_metric_score,ancillary_metric_description,ancillary_metric_score,spatial_feature_definition,spatial_feature_type_id,spatial_feature_name,spatial_feature_id,spatial_feature_description,narrative,date_collected,metric_score_source,metric_score_contact,join,join1
1142,Tobacco,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),0.55,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1113,Citrus,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Balanataman,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),1.03,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1114,Cocoa,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Balanataman,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),0,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1116,Copra,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Balanataman,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),0,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1117,Floriculture,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Balanataman,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),0,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1122,Kulau (copra),Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Balanataman,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),1.03,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1124,Mangoes,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Balanataman,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),1.03,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1129,Peanuts,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Balanataman,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),1.54,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1131,Pineapples,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Balanataman,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),1.54,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1132,Pitpit,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Balanataman,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),1.03,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1133,Rice,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Balanataman,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),2.57,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1142,Tobacco,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Balanataman,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),0.93,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1113,Citrus,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Balanataman,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.27,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1114,Cocoa,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Balanataman,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.46,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1116,Copra,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Balanataman,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.46,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1117,Floriculture,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Balanataman,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.04,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1122,Kulau (copra),Natural resource values,C_3,Contribution to Income,,Local Government,llg,Balanataman,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.46,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1124,Mangoes,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Balanataman,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.36,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1129,Peanuts,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Balanataman,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.46,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1131,Pineapples,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Balanataman,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.27,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1132,Pitpit,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Balanataman,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.27,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1133,Rice,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Balanataman,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.46,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1142,Tobacco,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Balanataman,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.16,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,ag_llg_Balanataman
1106,Banana,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.46,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1107,Betel nut,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),0.88,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1108,Bread fruit,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.19,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1111,Chickens,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.09,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1119,Green vegetables,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.28,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1120,Home brew,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),0.44,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1126,Mushroom,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),0.38,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1127,Mustard,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),0.49,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1130,"Pigs, domestic",Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.09,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1136,Spices,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.19,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1137,Sugar cane,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.37,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1138,Sweet potato,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),0.49,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1139,Tapioca,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.55,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1140,Taro,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.55,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1143,Watermelons,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.37,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1151,Galip nuts,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.09,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1106,Banana,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Balanataman,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),1.54,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1107,Betel nut,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Balanataman,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),1.24,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1108,Bread fruit,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Balanataman,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),2.57,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1111,Chickens,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Balanataman,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),1.03,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1119,Green vegetables,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Balanataman,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),1.03,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1120,Home brew,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Balanataman,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),0,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1126,Mushroom,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Balanataman,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),1.24,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
1127,Mustard,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Balanataman,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),0.62,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman,gard_llg_Balanataman
